,ID,Origin,Destination,month,day,nadults,Budget,price_min,timestamp,num_children,label
0,U2709166N,Alexandria,Hiroshima,8,15,1,6700,1,1472657834,1,1
1,U2709166N,Alexandria,Hiroshima,8,15,1,1800,2000,1472658012,1,1
2,U2709166N,Alexandria,Hiroshima,8,15,1,3200,13000,1472658046,1,1
3,U2709166N,Alexandria,Phoenix,8,15,1,5800,13000,1472658095,1,2
4,U2709166N,Alexandria,Phoenix,8,15,1,1800,8000,1472658099,1,2
5,U2709166N,Alexandria,Phoenix,8,15,1,1800,5000,1472658123,1,2
6,U22K1SX9N,Baltimore,Fukuoka,8,25,4,3900,3000,1471530362,40,3
7,U22K1SX9N,Baltimore,Las Vegas,8,25,4,3900,3000,1471530346,40,4
8,U22K1SX9N,Barcelona,Curitiba,9,1,1,3700,4000,1473371651,1,5
9,U22K1SX9N,Barcelona,Curitiba,9,1,1,3700,8000,1473371656,7,5
10,U22K1SX9N,Barcelona,Curitiba,9,1,1,3700,4000,1473371651,1,5
11,U22K1SX9N,Barcelona,Curitiba,9,1,1,3700,8000,1473371656,7,5
12,U22K1SX9N,Barcelona,Kochi,9,1,1,3700,13000,1473371105,1,6
13,U22K1SX9N,Barcelona,Kochi,9,1,1,3700,4000,1473371365,1,6
14,U22K1SX9N,Barcelona,Kochi,9,1,1,3700,4000,1473371365,1,6
15,U22K1SX9N,Barcelona,La Paz,9,1,1,3600,2000,1473370974,1,7
16,U22K1SX9N,Barcelona,Lima,9,1,1,3600,1,1473370939,1,8
17,U22K1SX9N,Barcelona,Lima,9,1,1,3600,13000,1473370974,1,8
18,U22K1SX9N,Barcelona,Toronto,9,1,1,3700,3000,1473371118,1,9
19,U22K1SX9N,Barcelona,hiroshima,9,1,1,3700,4000,1473371146,1,10
20,U2709166N,Beijing,Madrid,9,6,1,15900,1,1473447545,11,11
21,U2709166N,Beijing,Madrid,9,6,1,7300,2000,1473447545,11,11
22,U22K1SX9N,Beijing,Toronto,8,15,1,5800,1,1472226619,1,12
23,U22K1SX9N,Beijing,indianapolis,8,15,2,5800,3000,1472228870,1,13
24,U2709166N,Belem,New York,8,19,1,16600,1000,1471468088,3,14
25,U2709166N,Belem,New York,8,19,1,16600,2000,1471468111,40,14
26,U2709166N,Belem,New York,8,19,1,5600,3000,1471468123,40,14
27,U2709166N,Belem,New York,8,19,1,6100,1000,1471468599,4,14
28,U2709166N,Belem,New York,8,19,1,6100,1000,1471468599,4,14
29,U2709166N,Belem,Tijuana,8,19,1,16600,10000,1471467660,7,15
